,Relation,Accuracy,Count,Dataset,Model,Seed
95,making,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
96,mixed with,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
97,mounted on,0.3333333333333333,3,VG_Relation,openai-clip:ViT-B/32,1
98,moving,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
99,near,0.49201741654571846,689,VG_Relation,openai-clip:ViT-B/32,1
100,next to,0.47783251231527096,203,VG_Relation,openai-clip:ViT-B/32,1
101,of,0.4305177111716621,367,VG_Relation,openai-clip:ViT-B/32,1
102,on,0.5225653206650831,1684,VG_Relation,openai-clip:ViT-B/32,1
103,on the back of,0.5,4,VG_Relation,openai-clip:ViT-B/32,1
104,on the edge of,0.0,2,VG_Relation,openai-clip:ViT-B/32,1
105,on the front of,0.625,8,VG_Relation,openai-clip:ViT-B/32,1
106,on the other side of,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
107,on the side of,0.26666666666666666,45,VG_Relation,openai-clip:ViT-B/32,1
108,on top of,0.42786069651741293,201,VG_Relation,openai-clip:ViT-B/32,1
109,opening,0.5,2,VG_Relation,openai-clip:ViT-B/32,1
110,painted on,0.6666666666666666,3,VG_Relation,openai-clip:ViT-B/32,1
111,parked at,0.75,4,VG_Relation,openai-clip:ViT-B/32,1
112,parked beside,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
113,parked by,0.3333333333333333,3,VG_Relation,openai-clip:ViT-B/32,1
114,parked in,0.8571428571428571,7,VG_Relation,openai-clip:ViT-B/32,1
115,parked in front of,1.0,3,VG_Relation,openai-clip:ViT-B/32,1
116,parked near,1.0,2,VG_Relation,openai-clip:ViT-B/32,1
117,parked next to,1.0,4,VG_Relation,openai-clip:ViT-B/32,1
118,parked on,0.6666666666666666,21,VG_Relation,openai-clip:ViT-B/32,1
119,perched on,0.5,2,VG_Relation,openai-clip:ViT-B/32,1
120,petting,1.0,2,VG_Relation,openai-clip:ViT-B/32,1
121,piled on,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
122,playing,1.0,2,VG_Relation,openai-clip:ViT-B/32,1
123,playing in,1.0,7,VG_Relation,openai-clip:ViT-B/32,1
124,playing on,1.0,4,VG_Relation,openai-clip:ViT-B/32,1
125,playing with,0.5,4,VG_Relation,openai-clip:ViT-B/32,1
126,pouring,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
127,pulled by,0.6666666666666666,9,VG_Relation,openai-clip:ViT-B/32,1
128,pulling,0.3333333333333333,9,VG_Relation,openai-clip:ViT-B/32,1
129,reaching for,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
130,reading,0.4,5,VG_Relation,openai-clip:ViT-B/32,1
131,reflected in,0.6428571428571429,14,VG_Relation,openai-clip:ViT-B/32,1
132,reflected on,0.0,2,VG_Relation,openai-clip:ViT-B/32,1
133,resting on,0.38461538461538464,13,VG_Relation,openai-clip:ViT-B/32,1
134,riding,0.7058823529411765,51,VG_Relation,openai-clip:ViT-B/32,1
135,riding on,0.75,4,VG_Relation,openai-clip:ViT-B/32,1
136,running in,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
137,running on,1.0,3,VG_Relation,openai-clip:ViT-B/32,1
138,running through,1.0,2,VG_Relation,openai-clip:ViT-B/32,1
139,seen through,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
140,sitting at,0.6153846153846154,26,VG_Relation,openai-clip:ViT-B/32,1
141,sitting behind,0.5,2,VG_Relation,openai-clip:ViT-B/32,1
142,sitting beside,0.5,2,VG_Relation,openai-clip:ViT-B/32,1
143,sitting by,0.6666666666666666,3,VG_Relation,openai-clip:ViT-B/32,1
144,sitting in,0.5652173913043478,23,VG_Relation,openai-clip:ViT-B/32,1
145,sitting in front of,0.75,4,VG_Relation,openai-clip:ViT-B/32,1
146,sitting near,0.6666666666666666,3,VG_Relation,openai-clip:ViT-B/32,1
147,sitting next to,0.75,4,VG_Relation,openai-clip:ViT-B/32,1
148,sitting on,0.5885714285714285,175,VG_Relation,openai-clip:ViT-B/32,1
149,sitting on top of,0.5,10,VG_Relation,openai-clip:ViT-B/32,1
150,sitting under,0.0,2,VG_Relation,openai-clip:ViT-B/32,1
151,skiing down,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
152,skiing on,0.5,2,VG_Relation,openai-clip:ViT-B/32,1
153,sleeping in,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
154,sleeping on,0.4,5,VG_Relation,openai-clip:ViT-B/32,1
155,smiling at,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
156,sniffing,1.0,2,VG_Relation,openai-clip:ViT-B/32,1
157,splashing,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
158,sprinkled on,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
159,stacked on,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
160,standing against,1.0,3,VG_Relation,openai-clip:ViT-B/32,1
161,standing around,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
162,standing behind,0.8333333333333334,6,VG_Relation,openai-clip:ViT-B/32,1
163,standing beside,0.75,4,VG_Relation,openai-clip:ViT-B/32,1
164,standing by,0.6666666666666666,12,VG_Relation,openai-clip:ViT-B/32,1
165,standing in,0.7288135593220338,59,VG_Relation,openai-clip:ViT-B/32,1
166,standing in front of,0.4,5,VG_Relation,openai-clip:ViT-B/32,1
167,standing near,0.8571428571428571,7,VG_Relation,openai-clip:ViT-B/32,1
168,standing next to,0.8571428571428571,7,VG_Relation,openai-clip:ViT-B/32,1
169,standing on,0.5961538461538461,52,VG_Relation,openai-clip:ViT-B/32,1
170,staring at,0.5,2,VG_Relation,openai-clip:ViT-B/32,1
171,stuck in,0.6666666666666666,3,VG_Relation,openai-clip:ViT-B/32,1
172,surrounded by,0.6428571428571429,14,VG_Relation,openai-clip:ViT-B/32,1
173,surrounding,0.625,8,VG_Relation,openai-clip:ViT-B/32,1
174,swimming in,0.5,2,VG_Relation,openai-clip:ViT-B/32,1
175,swinging,1.0,6,VG_Relation,openai-clip:ViT-B/32,1
176,talking to,0.3333333333333333,3,VG_Relation,openai-clip:ViT-B/32,1
177,to the left of,0.4927012013951686,7741,VG_Relation,openai-clip:ViT-B/32,1
178,to the right of,0.490763467252293,7741,VG_Relation,openai-clip:ViT-B/32,1
179,topped with,0.6666666666666666,3,VG_Relation,openai-clip:ViT-B/32,1
180,touching,0.14285714285714285,7,VG_Relation,openai-clip:ViT-B/32,1
181,traveling down,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
182,traveling on,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
183,tying,0.5,2,VG_Relation,openai-clip:ViT-B/32,1
184,typing on,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
185,under,0.6363636363636364,132,VG_Relation,openai-clip:ViT-B/32,1
186,underneath,0.5,6,VG_Relation,openai-clip:ViT-B/32,1
187,using,0.8421052631578947,19,VG_Relation,openai-clip:ViT-B/32,1
188,wading in,0.5,2,VG_Relation,openai-clip:ViT-B/32,1
189,waiting for,1.0,2,VG_Relation,openai-clip:ViT-B/32,1
190,walking across,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
191,walking by,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
192,walking down,0.5,4,VG_Relation,openai-clip:ViT-B/32,1
193,walking in,0.7,10,VG_Relation,openai-clip:ViT-B/32,1
194,walking next to,0.5,2,VG_Relation,openai-clip:ViT-B/32,1
195,walking on,0.7368421052631579,19,VG_Relation,openai-clip:ViT-B/32,1
196,walking through,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
197,watching,0.45454545454545453,22,VG_Relation,openai-clip:ViT-B/32,1
198,wearing,0.4678609062170706,949,VG_Relation,openai-clip:ViT-B/32,1
199,with,0.5714285714285714,112,VG_Relation,openai-clip:ViT-B/32,1
200,working in,0.0,1,VG_Relation,openai-clip:ViT-B/32,1
201,working on,0.8333333333333334,6,VG_Relation,openai-clip:ViT-B/32,1
202,worn on,1.0,2,VG_Relation,openai-clip:ViT-B/32,1
203,wrapped around,1.0,1,VG_Relation,openai-clip:ViT-B/32,1
204,wrapped in,0.0,2,VG_Relation,openai-clip:ViT-B/32,1
